Field_ID,Species,LiveSeed_Per_Acre,Origin,
Furnas11008,Chamaecrista fasciculata,0.2,KS,
Furnas11008,Dalea purpurea,0.15,MN,
Furnas11008,Dalea candida,0.1,MN,
Furnas11008,Desmanthus illinoensis,0.1,IA,
Furnas11008,Verbena stricta,0.03,NE,
Furnas11008,Vicia americana,0.1,FL,
Furnas11008,Bouteloua curtipendula,0.4,KS,
Furnas11008,Astragalus canadensis,0.06,MN,
Furnas11008,Ratibida columnifera,0.05,CO,
Furnas11008,Bouteloua gracilis,0.05,MN,
Furnas11008,Gaillardia aristata,0.05,CO,
Furnas11008,Oenothera biennis,0.04,IA,
Furnas11008,Rudbeckia hirta,0.04,USA,
Furnas11008,Achillea millefolium,0.03,USA,
Furnas11008,Ratibida pinnata,0.1,IA,
Webster11006,Oenothera rhombipetala,0.01,NE,
Webster11006,Eupatorium perfoliatum,0.005,NE,
Webster11006,Vernonia baldwinii,0.01,NE,
Webster11006,Penstemon grandiflorus,0.01,NE,
Webster11006,Symphyotrichum ericoides,0.001,IA,
Webster11006,Asclepias syriaca,0.03,KS,
Webster11006,Monarda fistulosa,0.02,USA,
Webster11006,Amorpha canescens,0.02,NE,
Webster11006,Baptisia alba,0.01,IA,
Webster11006,Solidago rigida,0.01,USA,
Webster11006,Monarda citriodora,0.03,USA,
Webster11006,Salvia azurea,0.01,OK,
Webster11006,Coreopsis tinctoria,0.03,CO,
Webster11006,Echinacea angustifolia,0.01,OR,
Webster11006,Pycnanthemum virginianum,0.005,USA,
Webster11006,Brickellia eupatorioides,0.005,IA,
Webster11006,Artemisia ludoviciana,0.005,CO,
Webster11006,Symphyotrichum oblongifolium,0.005,PA,
Webster11006,Koeleria macrantha,0.01,CAN,
Webster11006,Coreopsis lanceolata,0.06,CO,
Webster11006,Andropogon gerardii,0.4,MO,
Webster11006,Trifolium pratense,0.3,OR,
Webster11006,Schizachyrium scoparium,0.3,NE,
Webster11006,Chamaecrista fasciculata,0.2,KS,
Webster11006,Dalea purpurea,0.15,MN,
Webster11006,Dalea candida,0.1,MN,
Webster11006,Desmanthus illinoensis,0.1,IA,
Webster11006,Verbena stricta,0.03,NE,
Webster11006,Vicia americana,0.1,FL,
Webster11006,Bouteloua curtipendula,0.4,KS,
Webster11006,Astragalus canadensis,0.06,MN,
Webster11006,Ratibida columnifera,0.05,CO,
Webster11006,Bouteloua gracilis,0.05,MN,
Webster11006,Gaillardia aristata,0.05,CO,
Webster11006,Oenothera biennis,0.04,IA,
Webster11006,Rudbeckia hirta,0.04,USA,
Webster11006,Achillea millefolium,0.03,USA,
Webster11006,Ratibida pinnata,0.1,IA,
Antelope11005,Verbena stricta,0.01,NE,
Antelope11005,Rosa arkansana,0.01,NE,
Antelope11005,Helianthus pauciflorus,0.01,NE,
Antelope11005,Solidago rigida,0.01,NE,
Antelope11005,Dalea villosa,0.01,NE,
Antelope11005,Penstemon grandiflorus,0.01,NE,
Antelope11005,Liatris squarrosa,0.01,NE,
Antelope11005,Lespedeza capitata,0.02,NE,
Antelope11005,Helianthus petiolaris,0.01,NE,
Antelope11005,Erysimum asperum,0.004,NE,
Antelope11005,Amorpha canescens,0.03,NE,
Antelope11005,Psoralidium tenuiflorum,0.01,NE,
Antelope11005,Dalea leporina,0.03,NE,
Antelope11005,Oenothera rhombipetala,0.005,NE,
Antelope11005,Froelichia floridana,0.01,NE,
Antelope11005,Silphium integrifolium,0.01,NE,
Antelope11005,Lotus unifoliolatus,0.01,NE,
Antelope11005,Xanthisma spinulosum,0.005,NE,
Antelope11005,Silphium laciniatum,0.01,NE,
Antelope11005,Asclepias syriaca,0.01,NE,
Antelope11005,Helianthus mollis,0.01,IA,
Antelope11005,Schizachyrium scoparium,0.25,NE,
Antelope11005,Potentilla arguta,0.005,USA,
Antelope11005,Achillea millefolium,0.03,USA,
Antelope11005,Rosa woodsii,0.01,USA,
Antelope11005,Ratibida columnifera,0.04,CO,
Antelope11005,Bouteloua curtipendula,0.15,KS,
